"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"RSA-CP (OT) (Ours)",0.8875,4.63797602407918,0,"Student-t",62,2000,2000
"SPI",0.922,5.42965810704577,0.0300000000000011,"Student-t",62,2000,2000
"Synthetic-only",0.993,10.8327441032998,0,"Student-t",62,2000,2000
"SCP",0.901,4.84872807070002,0,"Student-t",62,3000,3000
"RSA-CP (OT) (Ours)",0.8875,4.63797602407918,0,"Student-t",62,3000,3000
"SPI",0.922,5.42965810704577,0.0500000000000007,"Student-t",62,3000,3000
"Synthetic-only",0.9935,11.9912016587905,0,"Student-t",62,3000,3000
"SCP",0.9245,7.90759660135818,0,"LogNormal",63,50,50
"RSA-CP (OT) (Ours)",0.9235,7.88499049726014,0,"LogNormal",63,50,50
"SPI",0.9945,18.810255314532,0,"LogNormal",63,50,50
"Synthetic-only",0.9925,16.589344768525,0,"LogNormal",63,50,50
"SCP",0.9245,7.90759660135818,0,"LogNormal",63,100,100
"RSA-CP (OT) (Ours)",0.922,7.79990067175013,0,"LogNormal",63,100,100
"SPI",0.932,8.2901065682148,0,"LogNormal",63,100,100
"Synthetic-only",0.93,8.13718168962009,0,"LogNormal",63,100,100
"SCP",0.9245,7.90759660135818,0,"LogNormal",63,250,250
"RSA-CP (OT) (Ours)",0.9195,7.75338018083502,0,"LogNormal",63,250,250
"SPI",0.932,8.2901065682148,0.0100000000000016,"LogNormal",63,250,250
"Synthetic-only",0.933,8.31594207260684,0,"LogNormal",63,250,250
"SCP",0.9245,7.90759660135818,0,"LogNormal",63,500,500
"RSA-CP (OT) (Ours)",0.9195,7.75338018083502,0,"LogNormal",63,500,500
"SPI",0.932,8.2901065682148,0.0199999999999996,"LogNormal",63,500,500
"Synthetic-only",0.9915,16.3983052685446,0,"LogNormal",63,500,500
"SCP",0.9245,7.90759660135818,0,"LogNormal",63,1000,1000
"RSA-CP (OT) (Ours)",0.9195,7.75338018083502,0,"LogNormal",63,1000,1000
"SPI",0.932,8.2901065682148,0.0199999999999996,"LogNormal",63,1000,1000
"Synthetic-only",0.9905,15.1599789423136,0,"LogNormal",63,1000,1000
"SCP",0.9245,7.90759660135818,0,"LogNormal",63,2000,2000
"RSA-CP (OT) (Ours)",0.9195,7.75338018083502,0,"LogNormal",63,2000,2000
"SPI",0.932,8.2901065682148,0.0300000000000011,"LogNormal",63,2000,2000
"Synthetic-only",0.9635,10.1655891441051,0.0100000000000016,"LogNormal",63,2000,2000
"SCP",0.9245,7.90759660135818,0,"LogNormal",63,3000,3000
"RSA-CP (OT) (Ours)",0.9195,7.75338018083502,0,"LogNormal",63,3000,3000
"SPI",0.932,8.2901065682148,0.0500000000000007,"LogNormal",63,3000,3000
"Synthetic-only",0.981,12.9448527670526,0,"LogNormal",63,3000,3000
"SCP",0.981,8.53984620607518,0,"Student-t",63,50,50
"RSA-CP (OT) (Ours)",0.981,8.51182617587211,0.0100000000000016,"Student-t",63,50,50
"SPI",0.995,13.1529632155055,0,"Student-t",63,50,50
"Synthetic-only",0.995,13.1304605841052,0,"Student-t",63,50,50
"SCP",0.981,8.53984620607518,0,"Student-t",63,100,100
"RSA-CP (OT) (Ours)",0.973,7.86610143149561,0,"Student-t",63,100,100
"SPI",0.993,11.2028485019858,0,"Student-t",63,100,100
"Synthetic-only",0.995,13.7102048384689,0,"Student-t",63,100,100
"SCP",0.981,8.53984620607518,0,"Student-t",63,250,250
"RSA-CP (OT) (Ours)",0.972,7.74869693251806,0,"Student-t",63,250,250
"SPI",0.9855,9.31334217883308,0.0199999999999996,"Student-t",63,250,250
"Synthetic-only",0.981,8.51705887859259,0.0199999999999996,"Student-t",63,250,250
"SCP",0.981,8.53984620607518,0,"Student-t",63,500,500
"RSA-CP (OT) (Ours)",0.972,7.74869693251806,0,"Student-t",63,500,500
"SPI",0.993,11.2028485019858,0.0199999999999996,"Student-t",63,500,500
"Synthetic-only",0.993,11.0164523635917,0,"Student-t",63,500,500
"SCP",0.981,8.53984620607518,0,"Student-t",63,1000,1000
"RSA-CP (OT) (Ours)",0.9745,7.98350593047316,0,"Student-t",63,1000,1000
"SPI",0.993,11.2028485019858,0.00999999999999801,"Student-t",63,1000,1000
"Synthetic-only",0.993,11.1160161766927,0,"Student-t",63,1000,1000
"SCP",0.981,8.53984620607518,0,"Student-t",63,2000,2000
"RSA-CP (OT) (Ours)",0.9725,7.83570037731931,0.0200000000000031,"Student-t",63,2000,2000
"SPI",0.993,11.2028485019858,0.0299999999999976,"Student-t",63,2000,2000
"Synthetic-only",0.9945,12.5827258947002,0,"Student-t",63,2000,2000
"SCP",0.981,8.53984620607518,0,"Student-t",63,3000,3000
"RSA-CP (OT) (Ours)",0.9725,7.83570037731931,0,"Student-t",63,3000,3000
"SPI",0.993,11.0659881271598,0.0500000000000007,"Student-t",63,3000,3000
"Synthetic-only",0.993,11.0226887803352,0,"Student-t",63,3000,3000
"SCP",0.904,7.28611382801891,0,"LogNormal",64,50,50
"RSA-CP (OT) (Ours)",0.9035,7.27261928606657,0,"LogNormal",64,50,50
"SPI",0.991,15.699828159145,0,"LogNormal",64,50,50
"Synthetic-only",0.9425,8.58767650645002,0,"LogNormal",64,50,50
"SCP",0.904,7.28611382801891,0,"LogNormal",64,100,100
"RSA-CP (OT) (Ours)",0.9005,7.23129758557756,0.0199999999999996,"LogNormal",64,100,100
"SPI",0.9015,7.24925669525401,0,"LogNormal",64,100,100
"Synthetic-only",0.89,7.03193926641195,0,"LogNormal",64,100,100
"SCP",0.904,7.28611382801891,0,"LogNormal",64,250,250
"RSA-CP (OT) (Ours)",0.877,6.54948952750882,0,"LogNormal",64,250,250
"SPI",0.9925,16.5149062954428,0,"LogNormal",64,250,250
"Synthetic-only",0.9945,18.4104603095817,0,"LogNormal",64,250,250
"SCP",0.904,7.28611382801891,0,"LogNormal",64,500,500
"RSA-CP (OT) (Ours)",0.8845,6.82079497499741,0,"LogNormal",64,500,500
"SPI",0.9925,16.5149062954428,0,"LogNormal",64,500,500
"Synthetic-only",0.9915,16.1594590810098,0,"LogNormal",64,500,500
"SCP",0.904,7.28611382801891,0,"LogNormal",64,1000,1000
"RSA-CP (OT) (Ours)",0.8845,6.82197209835951,0,"LogNormal",64,1000,1000
"SPI",0.983,13.2855194900743,0.0100000000000016,"LogNormal",64,1000,1000
"Synthetic-only",0.9715,11.3499102892454,0,"LogNormal",64,1000,1000
"SCP",0.904,7.28611382801891,0,"LogNormal",64,2000,2000
"RSA-CP (OT) (Ours)",0.8825,6.68209945146864,0,"LogNormal",64,2000,2000
"SPI",0.9515,9.00760268060225,0.0500000000000007,"LogNormal",64,2000,2000
"Synthetic-only",0.951,8.94309489532606,0.0199999999999996,"LogNormal",64,2000,2000
"SCP",0.904,7.28611382801891,0,"LogNormal",64,3000,3000
"RSA-CP (OT) (Ours)",0.881,6.61176156250581,0,"LogNormal",64,3000,3000
"SPI",0.943,8.59482695195783,0.0500000000000007,"LogNormal",64,3000,3000
"Synthetic-only",0.941,8.5686109920323,0,"LogNormal",64,3000,3000
"SCP",0.9855,9.27359145037556,0,"Student-t",64,50,50
"RSA-CP (OT) (Ours)",0.9855,9.26192395266989,0.00999999999999801,"Student-t",64,50,50
"SPI",0.999,19.9021704994267,0,"Student-t",64,50,50
"Synthetic-only",0.999,19.4276901771185,0,"Student-t",64,50,50
"SCP",0.9855,9.27359145037556,0,"Student-t",64,100,100
"RSA-CP (OT) (Ours)",0.964,7.14438362892337,0,"Student-t",64,100,100
"SPI",0.9875,9.70612392648527,0,"Student-t",64,100,100
"Synthetic-only",0.995,13.1916888100902,0,"Student-t",64,100,100
"SCP",0.9855,9.27359145037556,0,"Student-t",64,250,250
"RSA-CP (OT) (Ours)",0.972,7.76860984033263,0.0199999999999996,"Student-t",64,250,250
"SPI",0.9875,9.70612392648527,0,"Student-t",64,250,250
"Synthetic-only",0.995,12.9693043958739,0,"Student-t",64,250,250
"SCP",0.9855,9.27359145037556,0,"Student-t",64,500,500
"RSA-CP (OT) (Ours)",0.968,7.30481223792471,0,"Student-t",64,500,500
"SPI",0.9875,9.70612392648527,0.0100000000000016,"Student-t",64,500,500
"Synthetic-only",0.995,13.3219988612809,0,"Student-t",64,500,500
"SCP",0.9855,9.27359145037556,0,"Student-t",64,1000,1000
"RSA-CP (OT) (Ours)",0.9645,7.18886283732273,0,"Student-t",64,1000,1000
"SPI",0.9875,9.70612392648527,0.0199999999999996,"Student-t",64,1000,1000
"Synthetic-only",0.993,10.9865344558605,0,"Student-t",64,1000,1000
"SCP",0.9855,9.27359145037556,0,"Student-t",64,2000,2000
"RSA-CP (OT) (Ours)",0.969,7.42076163852669,0.0199999999999996,"Student-t",64,2000,2000
"SPI",0.9875,9.70612392648527,0.0300000000000011,"Student-t",64,2000,2000
"Synthetic-only",0.9935,11.5241213943236,0,"Student-t",64,2000,2000
"SCP",0.9855,9.27359145037556,0,"Student-t",64,3000,3000
"RSA-CP (OT) (Ours)",0.969,7.42076163852669,0,"Student-t",64,3000,3000
"SPI",0.9875,9.70612392648527,0.0399999999999991,"Student-t",64,3000,3000
"Synthetic-only",0.993,11.2372035151788,0,"Student-t",64,3000,3000
"SCP",0.922,7.82600065598088,0,"LogNormal",65,50,50
"RSA-CP (OT) (Ours)",0.922,7.81058406948517,0,"LogNormal",65,50,50
"SPI",0.996,20.3883161057867,0,"LogNormal",65,50,50
"Synthetic-only",0.886,6.8886199450754,0,"LogNormal",65,50,50
"SCP",0.922,7.82600065598088,0,"LogNormal",65,100,100
"RSA-CP (OT) (Ours)",0.872,6.39868370450179,0.0100000000000016,"LogNormal",65,100,100
"SPI",0.981,12.9260045539168,0,"LogNormal",65,100,100
"Synthetic-only",0.9615,9.89705543232526,0,"LogNormal",65,100,100
"SCP",0.922,7.82600065598088,0,"LogNormal",65,250,250
"RSA-CP (OT) (Ours)",0.886,6.89435638583644,0,"LogNormal",65,250,250
"SPI",0.966,10.4198884055104,0,"LogNormal",65,250,250
"Synthetic-only",0.963,10.0687129283907,0,"LogNormal",65,250,250
"SCP",0.922,7.82600065598088,0,"LogNormal",65,500,500
"RSA-CP (OT) (Ours)",0.8745,6.488806010199,0,"LogNormal",65,500,500
"SPI",0.981,12.9260045539168,0,"LogNormal",65,500,500
"Synthetic-only",0.9665,10.4697874366176,0,"LogNormal",65,500,500
"SCP",0.922,7.82600065598088,0,"LogNormal",65,1000,1000
"RSA-CP (OT) (Ours)",0.8825,6.69869667368193,0.0199999999999996,"LogNormal",65,1000,1000
"SPI",0.9225,7.83862065440279,0.00999999999999801,"LogNormal",65,1000,1000
"Synthetic-only",0.9195,7.74766245205202,0,"LogNormal",65,1000,1000
"SCP",0.922,7.82600065598088,0,"LogNormal",65,2000,2000
"RSA-CP (OT) (Ours)",0.883,6.7739629284424,0,"LogNormal",65,2000,2000
"SPI",0.981,12.9260045539168,0.0300000000000011,"LogNormal",65,2000,2000
"Synthetic-only",0.99,14.8471405260152,0.0200000000000031,"LogNormal",65,2000,2000
"SCP",0.922,7.82600065598088,0,"LogNormal",65,3000,3000
"RSA-CP (OT) (Ours)",0.8855,6.84922918320287,0,"LogNormal",65,3000,3000
"SPI",0.981,12.9260045539168,0.0500000000000007,"LogNormal",65,3000,3000
"Synthetic-only",0.987,13.5860795890952,0,"LogNormal",65,3000,3000
"SCP",0.9715,7.72645850808246,0,"Student-t",65,50,50
"RSA-CP (OT) (Ours)",0.9715,7.71489792020358,0.0100000000000016,"Student-t",65,50,50
"SPI",0.995,13.873438602543,0,"Student-t",65,50,50
"Synthetic-only",0.964,7.11062306575623,0,"Student-t",65,50,50
"SCP",0.9715,7.72645850808246,0,"Student-t",65,100,100
"RSA-CP (OT) (Ours)",0.96,6.86462487822017,0,"Student-t",65,100,100
"SPI",0.9925,10.7832145640885,0,"Student-t",65,100,100
"Synthetic-only",0.9915,10.5532116072343,0,"Student-t",65,100,100
"SCP",0.9715,7.72645850808246,0,"Student-t",65,250,250
"RSA-CP (OT) (Ours)",0.9685,7.32850429068573,0,"Student-t",65,250,250
"SPI",0.9915,10.6665236376821,0.0199999999999996,"Student-t",65,250,250
"Synthetic-only",0.987,9.60737568362889,0,"Student-t",65,250,250
"SCP",0.9715,7.72645850808246,0,"Student-t",65,500,500
"RSA-CP (OT) (Ours)",0.9525,6.52953201839293,0,"Student-t",65,500,500
"SPI",0.989,10.2519988392635,0.00999999999999801,"Student-t",65,500,500
"Synthetic-only",0.9885,10.0435003908129,0,"Student-t",65,500,500
"SCP",0.9715,7.72645850808246,0,"Student-t",65,1000,1000
"RSA-CP (OT) (Ours)",0.953,6.53944513304228,0,"Student-t",65,1000,1000
"SPI",0.9925,10.7832145640885,0.0199999999999996,"Student-t",65,1000,1000
"Synthetic-only",0.9945,12.6129336110982,0,"Student-t",65,1000,1000
"SCP",0.9715,7.72645850808246,0,"Student-t",65,2000,2000
"RSA-CP (OT) (Ours)",0.9555,6.63090590413378,0,"Student-t",65,2000,2000
"SPI",0.9925,10.7832145640885,0.0300000000000011,"Student-t",65,2000,2000
"Synthetic-only",0.9935,11.9867799926784,0.0100000000000016,"Student-t",65,2000,2000
"SCP",0.9715,7.72645850808246,0,"Student-t",65,3000,3000
"RSA-CP (OT) (Ours)",0.9565,6.67663628967953,0,"Student-t",65,3000,3000
"SPI",0.9925,10.7832145640885,0.0499999999999972,"Student-t",65,3000,3000
"Synthetic-only",0.9935,11.9837829067788,0,"Student-t",65,3000,3000
"SCP",0.967,10.5972388214785,0,"LogNormal",66,50,50
"RSA-CP (OT) (Ours)",0.967,10.5932865325749,0,"LogNormal",66,50,50
"SPI",0.9985,27.0524771780427,0,"LogNormal",66,50,50
"Synthetic-only",0.997,21.575386260029,0,"LogNormal",66,50,50
"SCP",0.967,10.5972388214785,0,"LogNormal",66,100,100
"RSA-CP (OT) (Ours)",0.9665,10.5391701242334,0,"LogNormal",66,100,100
"SPI",0.9695,11.1144738241675,0.00999999999999801,"LogNormal",66,100,100
"Synthetic-only",0.9505,8.89550106016528,0,"LogNormal",66,100,100
"SCP",0.967,10.5972388214785,0,"LogNormal",66,250,250
"RSA-CP (OT) (Ours)",0.966,10.3875273886329,0,"LogNormal",66,250,250
"SPI",0.963,10.1001405328481,0,"LogNormal",66,250,250
"Synthetic-only",0.926,7.97415323356057,0,"LogNormal",66,250,250
"SCP",0.967,10.5972388214785,0,"LogNormal",66,500,500
"RSA-CP (OT) (Ours)",0.9655,10.3369798100994,0.0199999999999996,"LogNormal",66,500,500
"SPI",0.963,10.1001405328481,0,"LogNormal",66,500,500
"Synthetic-only",0.951,8.94346889860926,0,"LogNormal",66,500,500
"SCP",0.967,10.5972388214785,0,"LogNormal",66,1000,1000
"RSA-CP (OT) (Ours)",0.9645,10.3113601980942,0.0100000000000016,"LogNormal",66,1000,1000
"SPI",0.9695,11.1144738241675,0.0199999999999996,"LogNormal",66,1000,1000
"Synthetic-only",0.9825,13.1255252421599,0,"LogNormal",66,1000,1000
"SCP",0.967,10.5972388214785,0,"LogNormal",66,2000,2000
"RSA-CP (OT) (Ours)",0.9645,10.3113601980942,0,"LogNormal",66,2000,2000
"SPI",0.9695,11.1144738241675,0.0300000000000011,"LogNormal",66,2000,2000
"Synthetic-only",0.975,11.7939305437525,0,"LogNormal",66,2000,2000
"SCP",0.967,10.5972388214785,0,"LogNormal",66,3000,3000
"RSA-CP (OT) (Ours)",0.9645,10.2927998956144,0.0199999999999996,"LogNormal",66,3000,3000
"SPI",0.968,10.8976020377356,0.0399999999999991,"LogNormal",66,3000,3000
"Synthetic-only",0.9675,10.6216655992658,0,"LogNormal",66,3000,3000
"SCP",0.9215,5.38711368249523,0,"Student-t",66,50,50
"RSA-CP (OT) (Ours)",0.921,5.38019088758157,0,"Student-t",66,50,50
"SPI",0.999,17.3717555416404,0,"Student-t",66,50,50
"Synthetic-only",0.989,10.2393741379162,0,"Student-t",66,50,50
"SCP",0.9215,5.38711368249523,0,"Student-t",66,100,100
"RSA-CP (OT) (Ours)",0.9165,5.26185053556015,0,"Student-t",66,100,100
"SPI",0.9835,8.7587900532387,0,"Student-t",66,100,100
"Synthetic-only",0.9795,8.42584406265073,0,"Student-t",66,100,100
"SCP",0.9215,5.38711368249523,0,"Student-t",66,250,250
"RSA-CP (OT) (Ours)",0.9135,5.16098751093324,0,"Student-t",66,250,250
"SPI",0.9835,8.7587900532387,0.0100000000000016,"Student-t",66,250,250
"Synthetic-only",0.996,14.1302152021724,0,"Student-t",66,250,250
"SCP",0.9215,5.38711368249523,0,"Student-t",66,500,500
"RSA-CP (OT) (Ours)",0.9085,5.04101254107397,0,"Student-t",66,500,500
"SPI",0.9835,8.7587900532387,0,"Student-t",66,500,500
"Synthetic-only",0.9915,10.67336424002,0,"Student-t",66,500,500
"SCP",0.9215,5.38711368249523,0,"Student-t",66,1000,1000
"RSA-CP (OT) (Ours)",0.9095,5.08343827576431,0.0199999999999996,"Student-t",66,1000,1000
"SPI",0.9835,8.7587900532387,0.0199999999999996,"Student-t",66,1000,1000
"Synthetic-only",0.993,10.8436017094818,0,"Student-t",66,1000,1000
"SCP",0.9215,5.38711368249523,0,"Student-t",66,2000,2000
"RSA-CP (OT) (Ours)",0.9085,5.03924858613801,0,"Student-t",66,2000,2000
"SPI",0.9835,8.7587900532387,0.0399999999999991,"Student-t",66,2000,2000
"Synthetic-only",0.993,10.8948587190966,0,"Student-t",66,2000,2000
"SCP",0.9215,5.38711368249523,0,"Student-t",66,3000,3000
"RSA-CP (OT) (Ours)",0.9095,5.07524321889614,0,"Student-t",66,3000,3000
"SPI",0.9835,8.7587900532387,0.0500000000000007,"Student-t",66,3000,3000
"Synthetic-only",0.9945,12.7040065232889,0,"Student-t",66,3000,3000
"SCP",0.9635,10.1872773247827,0,"LogNormal",67,50,50
"RSA-CP (OT) (Ours)",0.963,10.1286560106472,0,"LogNormal",67,50,50
"SPI",0.998,24.6486571051476,0.0100000000000016,"LogNormal",67,50,50
"Synthetic-only",0.9295,8.05900204936886,0,"LogNormal",67,50,50
"SCP",0.9635,10.1872773247827,0,"LogNormal",67,100,100
"RSA-CP (OT) (Ours)",0.957,9.42527712101892,0,"LogNormal",67,100,100
"SPI",0.9875,13.709672576123,0,"LogNormal",67,100,100
"Synthetic-only",0.956,9.34228606057171,0,"LogNormal",67,100,100
"SCP",0.9635,10.1872773247827,0,"LogNormal",67,250,250
"RSA-CP (OT) (Ours)",0.954,9.21426345413044,0,"LogNormal",67,250,250
"SPI",0.9375,8.40432392320384,0.0199999999999996,"LogNormal",67,250,250
"Synthetic-only",0.93,8.110615209166,0,"LogNormal",67,250,250
"SCP",0.9635,10.1872773247827,0,"LogNormal",67,500,500
"RSA-CP (OT) (Ours)",0.9485,8.79223612035347,0,"LogNormal",67,500,500
"SPI",0.9875,13.709672576123,0.00999999999999801,"LogNormal",67,500,500
"Synthetic-only",0.9905,15.1821175674771,0,"LogNormal",67,500,500
"SCP",0.9635,10.1872773247827,0,"LogNormal",67,1000,1000
"RSA-CP (OT) (Ours)",0.95,8.8625740093163,0,"LogNormal",67,1000,1000
"SPI",0.9735,11.5885881939763,0.0199999999999996,"LogNormal",67,1000,1000
"Synthetic-only",0.968,10.7409958777614,0,"LogNormal",67,1000,1000
"SCP",0.9635,10.1872773247827,0,"LogNormal",67,2000,2000
"RSA-CP (OT) (Ours)",0.9485,8.79223612035347,0.0100000000000016,"LogNormal",67,2000,2000
"SPI",0.9305,8.19911265256435,0.0300000000000011,"LogNormal",67,2000,2000
"Synthetic-only",0.93,8.13767107285438,0,"LogNormal",67,2000,2000
"SCP",0.9635,10.1872773247827,0,"LogNormal",67,3000,3000
"RSA-CP (OT) (Ours)",0.9465,8.72189823139064,0,"LogNormal",67,3000,3000
"SPI",0.9845,13.5061039389632,0.0700000000000003,"LogNormal",67,3000,3000
"Synthetic-only",0.981,13.002600240046,0.0199999999999996,"LogNormal",67,3000,3000
"SCP",0.9095,5.06857460486445,0,"Student-t",67,50,50
"RSA-CP (OT) (Ours)",0.9095,5.06816772148389,0,"Student-t",67,50,50
"SPI",0.995,13.5761185069436,0,"Student-t",67,50,50
"Synthetic-only",0.995,13.5166685317192,0,"Student-t",67,50,50
"SCP",0.9095,5.06857460486445,0,"Student-t",67,100,100
"RSA-CP (OT) (Ours)",0.8875,4.66503540277631,0,"Student-t",67,100,100
"SPI",0.9595,6.83710019635204,0,"Student-t",67,100,100
"Synthetic-only",0.952,6.36522960840233,0,"Student-t",67,100,100
"SCP",0.9095,5.06857460486445,0,"Student-t",67,250,250
"RSA-CP (OT) (Ours)",0.8985,4.79552590355327,0,"Student-t",67,250,250
"SPI",0.9595,6.83710019635204,0,"Student-t",67,250,250
"Synthetic-only",0.995,13.4349381740892,0,"Student-t",67,250,250
"SCP",0.9095,5.06857460486445,0,"Student-t",67,500,500
"RSA-CP (OT) (Ours)",0.885,4.59979015238783,0,"Student-t",67,500,500
"SPI",0.9595,6.83710019635204,0.0199999999999996,"Student-t",67,500,500
"Synthetic-only",0.995,12.831361721127,0,"Student-t",67,500,500
"SCP",0.9095,5.06857460486445,0,"Student-t",67,1000,1000
"RSA-CP (OT) (Ours)",0.8875,4.66503540277631,0,"Student-t",67,1000,1000
"SPI",0.9595,6.83710019635204,0.0100000000000016,"Student-t",67,1000,1000
"Synthetic-only",0.9935,11.8819254209573,0,"Student-t",67,1000,1000
"SCP",0.9095,5.06857460486445,0,"Student-t",67,2000,2000
"RSA-CP (OT) (Ours)",0.8875,4.66503540277631,0.0199999999999996,"Student-t",67,2000,2000
"SPI",0.9595,6.83710019635204,0.0300000000000011,"Student-t",67,2000,2000
"Synthetic-only",0.993,11.1942589599877,0,"Student-t",67,2000,2000
"SCP",0.9095,5.06857460486445,0,"Student-t",67,3000,3000
"RSA-CP (OT) (Ours)",0.888,4.66564532577078,0.0199999999999996,"Student-t",67,3000,3000
"SPI",0.9595,6.83710019635204,0.0299999999999976,"Student-t",67,3000,3000
"Synthetic-only",0.989,10.1715346292141,0,"Student-t",67,3000,3000
"SCP",0.9665,10.5604094464928,0,"LogNormal",68,50,50
"RSA-CP (OT) (Ours)",0.9665,10.5565385106943,0,"LogNormal",68,50,50
"SPI",0.9965,21.1860488144947,0,"LogNormal",68,50,50
"Synthetic-only",0.996,19.7128907691616,0,"LogNormal",68,50,50
"SCP",0.9665,10.5604094464928,0,"LogNormal",68,100,100
"RSA-CP (OT) (Ours)",0.9545,9.26093920922753,0.0199999999999996,"LogNormal",68,100,100
"SPI",0.968,10.7492905939044,0,"LogNormal",68,100,100
"Synthetic-only",0.991,15.4783618352434,0,"LogNormal",68,100,100
"SCP",0.9665,10.5604094464928,0,"LogNormal",68,250,250
"RSA-CP (OT) (Ours)",0.9615,9.86604622485722,0,"LogNormal",68,250,250
"SPI",0.9575,9.44019620141297,0.0100000000000016,"LogNormal",68,250,250
"Synthetic-only",0.9515,9.01330279974786,0,"LogNormal",68,250,250
"SCP",0.9665,10.5604094464928,0,"LogNormal",68,500,500
"RSA-CP (OT) (Ours)",0.953,9.16132863736741,0,"LogNormal",68,500,500
"SPI",0.9265,7.98268275525903,0.0199999999999996,"LogNormal",68,500,500
"Synthetic-only",0.9145,7.62584782181608,0,"LogNormal",68,500,500
"SCP",0.9665,10.5604094464928,0,"LogNormal",68,1000,1000
"RSA-CP (OT) (Ours)",0.953,9.11434746486809,0,"LogNormal",68,1000,1000
"SPI",0.968,10.7492905939044,0.0199999999999996,"LogNormal",68,1000,1000
"Synthetic-only",0.9895,14.0408388047569,0,"LogNormal",68,1000,1000
"SCP",0.9665,10.5604094464928,0,"LogNormal",68,2000,2000
"RSA-CP (OT) (Ours)",0.9515,9.02038511986946,0.00999999999999801,"LogNormal",68,2000,2000
"SPI",0.968,10.7492905939044,0.0300000000000011,"LogNormal",68,2000,2000
"Synthetic-only",0.9765,11.9055842755871,0,"LogNormal",68,2000,2000
"SCP",0.9665,10.5604094464928,0,"LogNormal",68,3000,3000
"RSA-CP (OT) (Ours)",0.9515,9.06736629236878,0,"LogNormal",68,3000,3000
"SPI",0.968,10.7492905939044,0.0500000000000007,"LogNormal",68,3000,3000
"Synthetic-only",0.978,12.1692965748866,0,"LogNormal",68,3000,3000
"SCP",0.9985,16.3915574621767,0,"Student-t",68,50,50
"RSA-CP (OT) (Ours)",0.9985,16.3774748301406,0.0199999999999996,"Student-t",68,50,50
"SPI",0.999,18.7117977019628,0,"Student-t",68,50,50
"Synthetic-only",0.9985,16.5783303001075,0,"Student-t",68,50,50
"SCP",0.9985,16.3915574621767,0,"Student-t",68,100,100
"RSA-CP (OT) (Ours)",0.998,15.3125717582256,0,"Student-t",68,100,100
"SPI",0.993,11.3977670155879,0,"Student-t",68,100,100
"Synthetic-only",0.964,7.16360595318455,0,"Student-t",68,100,100
"SCP",0.9985,16.3915574621767,0,"Student-t",68,250,250
"RSA-CP (OT) (Ours)",0.995,13.5132527746451,0.0100000000000016,"Student-t",68,250,250
